s	label	def
min:ferriwhittakerite	Ferriwhittakerite	Na(NaLi)(Mg2Fe3+2Li)Si8O22(OH)2 Nickel-Strunz 09.DE.15
min:ferro-actinolite	Ferro-actinolite	˜?{Ca2}{Fe2+5}(Si8O22)(OH)2 Nickel-Strunz 09.DE.10
min:ferro-anthophyllite	Ferro-anthophyllite	˜?{Fe2+2}{Fe2+5}(Si8O22)(OH)2 Nickel-Strunz 09.DD.05
min:ferro-barroisite	Ferro-barroisite	˜?{CaNa}{Fe2+3Al2}(AlSi7O22)(OH)2 Nickel-Strunz 09.DE.20
min:ferro-eckermannite	Ferro-eckermannite	NaNa2(Fe2+4Al)Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:ferro-edenite	Ferro-edenite	{Na}{Ca2}{Fe2+5}(AlSi7O22)(OH)2 Nickel-Strunz 09.DE.15
min:ferro-ferri-barroisite	Ferro-ferri-barroisite	˜?(CaNa)(Fe2+3Fe3+2)(AlSi7O22)(OH)2 Nickel-Strunz 09.DE.20
min:ferro-ferri-fluoro-hornblende	Ferro-ferri-fluoro-hornblende	˜?{Ca2}{Fe2+4Fe3+}(AlSi7O22)F2 Nickel-Strunz 09.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferro-ferri-fluoro-leakeite	Ferro-ferri-fluoro-leakeite	Na(Na2)(Fe2+2Fe3+2Li)(Si8O22)(F)2 Nickel-Strunz 09.DE.25
min:ferro-ferri-hornblende	Ferro-ferri-hornblende	Ca2(Fe2+4Fe3+)(Si7Al)O22(OH)2 Nickel-Strunz 09.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferro-ferri-katophorite	Ferro-ferri-katophorite	Na(NaCa)(Fe2+4Fe3+)(Si7Al)O22(OH)2 Nickel-Strunz 09.DE.20
min:ferro-ferri-leakeite	Ferro-ferri-leakeite	[Na][Na2][Fe2+2Fe3+2Li]Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:ferro-ferri-nyboite	Ferro-ferri-nybøite	NaNa2[(Fe2+3,Mg)Fe3+2](AlSi7O22)(OH)2 Nickel-Strunz 09.DE.25
min:ferro-ferri-obertiite	Ferro-ferri-obertiite	NaNa2(Fe2+3Fe3+Ti)Si8O22O2 Nickel-Strunz 09.DE.25
min:ferro-ferri-pedrizite	Ferro-ferri-pedrizite	[Na][Li2][Fe2+2Fe3+2Li]Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:ferro-ferri-taramite	Ferro-ferri-taramite	Na(CaNa)(Fe2+3Fe3+2)(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.20
min:ferro-ferri-winchite	Ferro-ferri-winchite	˜?[CaNa][Fe2+4(Fe3+,Al)]Si8O22(OH)2 Nickel-Strunz 09.DE.20
min:ferro-fluoro-hornblende	Ferro-fluoro-hornblende	˜?Ca2(Fe2+4Al)(AlSi7O22)F2 Nickel-Strunz 09.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferro-fluoro-pedrizite	Ferro-fluoro-pedrizite	{Na}{Li2}{Fe2Al2Li}(Al2Si6O22)F2 Nickel-Strunz 09.DE.25
min:ferro-gedrite	Ferro-gedrite	˜?{Fe2+2}{Fe2+3Al2}(Al2Si6O22)(OH)2 Nickel-Strunz 09.DD.05
min:ferro-glaucophane	Ferro-glaucophane	->>[Na2][Fe2+3Al2]Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:ferro-holmquistite	Ferro-holmquistite	˜?{Li2}{Fe2+3Al2}(Si8O22)(OH)2 Nickel-Strunz 09.DD.05
min:ferro-hornblende	Ferro-hornblende	˜?{Ca2}{Fe2+4Al}(AlSi7O22)(OH)2 Nickel-Strunz 09.DE.10
min:ferro-kaersutite	Ferro-kaersutite	{Na}{Ca2}{Fe2+3AlTi}(Al2Si6O22)O2 Nickel-Strunz 09.DE.15
min:ferro-katophorite	Ferro-katophorite	{Na}{CaNa}{Fe2+4Al}[(AlSi7)O22](OH)2 Nickel-Strunz 09.DE.20
min:ferro-pargasite	Ferro-pargasite	{Na}{Ca2}{Fe2+4Al}(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.15
min:ferro-pedrizite	Ferro-pedrizite	NaLi2(Fe2+2Al2Li)Si8O22(OH)2 Nickel-Strunz 09.DE.25
min:ferro-richterite	Ferro-richterite	{Na}{CaNa}{Fe2+5}(Si8O22)(OH)2 Nickel-Strunz 09.DE.20
min:ferro-taramite	Ferro-taramite	Na(CaNa)(Fe2+3Al2)(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.20
min:ferro-tschermakite	Ferro-tschermakite	˜?{Ca2}{Fe2+3Al2}(Al2Si6O22)(OH)2 Nickel-Strunz 09.DE.10
min:ferro-winchite	Ferro-winchite	˜?{CaNa}{Fe2+4Al}(Si8O22)(OH)2 Nickel-Strunz 09.DE.20
min:ferroalluaudite	Ferroalluaudite	(Na,Ca)Fe2+(Fe3+,Mn2+,Fe2+)2(PO4)3 Nickel-Strunz 08.AC.10
min:ferroaluminoceladonite	Ferroaluminoceladonite	K(Fe2+,Mg)(Al,Fe3+)(Si4O10)(OH)2 Nickel-Strunz 09.EC.15
min:ferrobobfergusonite	Ferrobobfergusonite	Na2Fe2+5Fe3+Al(PO4)6 Nickel-Strunz 08.AC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrobustamite	Ferrobustamite	CaFe2+(Si2O6) Nickel-Strunz 09.DG.05
min:ferrocarpholite	Ferrocarpholite	(Fe2+,Mg)Al2(Si2O6)(OH)4 Nickel-Strunz 09.DB.05
min:ferroceladonite	Ferroceladonite	K(Fe2+,Mg)(Fe3+,Al)(Si4O10)(OH)2 Nickel-Strunz 09.EC.15
min:ferrochiavennite	Ferrochiavennite	Ca1-2Fe[(Si,Al,Be)5Be2O13(OH)2] · 2H2O Nickel-Strunz 09.GF. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferroericssonite	Ferroericssonite	BaFe2+2 Fe3+(Si2O7)O(OH) Nickel-Strunz 09.BE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrohagendorfite	Ferrohagendorfite	NaCaFe2+Fe2+2(PO4)3 Nickel-Strunz 08.AC.10
min:ferrohexahydrite	Ferrohexahydrite	FeSO4 · 6H2O Nickel-Strunz 07.CB.25
min:ferrohogbomite-2n2s	Ferrohögbomite-2N2S	[(Fe2+,Mg,Zn,Al)3(Al,Ti,Fe3+)8O15(OH)]2 Nickel-Strunz 04.00.
min:ferrohogbomite-6n12s	Ferrohögbomite-6N12S	[(Fe2+,Mg,Zn)5(Al,Ti,Fe3+)12O23(OH)]6 Nickel-Strunz 04.CB.20
min:ferroindialite	Ferroindialite	(Fe2+,Mg)2Al4Si5O18 Nickel-Strunz 09.CJ. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrokentbrooksite	Ferrokentbrooksite	Na15Ca6(Fe,Mn)3Zr3NbSi25O73(O,OH,H2O)3Cl2 Nickel-Strunz 09.CO.10
min:ferrokinoshitalite	Ferrokinoshitalite	(Ba,K)(Fe2+,Mg)3(Al2Si2O10)(OH,F)2 Nickel-Strunz 09.EC.35
min:ferrokesterite	Ferrokësterite	Cu2(Fe,Zn)SnS4 Nickel-Strunz 02.CB.15a
min:ferrolaueite	Ferrolaueite	Fe2+Fe3+2(PO4)2(OH)2 · 8H2O Nickel-Strunz 08.DC.30
min:ferromerrillite	Ferromerrillite	Ca9NaFe2+(PO4)7 Nickel-Strunz 08.AC.45
min:ferronickelplatinum	Ferronickelplatinum	Pt2FeNi Nickel-Strunz 01.AG.40
min:ferronigerite-2n1s	Ferronigerite-2N1S	(Al,Fe,Zn)2(Al,Sn)6O11(OH) Nickel-Strunz 04.FC.20
min:ferronigerite-6n6s	Ferronigerite-6N6S	(Al,Fe,Zn)3(Al,Sn,Fe)8O15(OH) Nickel-Strunz 04.FC.20
min:ferronordite-ce	Ferronordite-(Ce)	Na3SrCeFe2+Si6O17 Nickel-Strunz 09.DO.15
min:ferronordite-la	Ferronordite-(La)	Na3Sr(La,Ce)FeSi6O17 Nickel-Strunz 09.DO.15
min:ferronyboite	Ferronybøite	NaNa2(Fe2+3Al2)(AlSi7)O22(OH)2 Nickel-Strunz 09.DE.25 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrorhodonite	Ferrorhodonite	CaMn3Fe(Si5O15) Nickel-Strunz 09.DK.05 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrorhodsite	Ferrorhodsite	(Fe,Cu)(Rh,Ir,Pt)2S4 Nickel-Strunz 02.DA.05
min:ferrorockbridgeite	Ferrorockbridgeite	(Fe2+,Mn2+)2Fe3+3(PO4)3(OH)4(H2O) Nickel-Strunz 08.DC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrorosemaryite	Ferrorosemaryite	->>NaFe2+Fe3+Al(PO4)3 Nickel-Strunz 08.AC.15
min:ferrosaponite	Ferrosaponite	Ca0.3(Fe2+,Mg,Fe3+)3((Si,Al)4O10)(OH)2 · 4H2O Nickel-Strunz 09.EC.45
min:ferroselite	Ferroselite	FeSe2 Nickel-Strunz 02.EB.10a
min:ferrosilite	Ferrosilite	FeSiO3 Nickel-Strunz 09.DA.05
min:ferroskutterudite	Ferroskutterudite	(Fe,Co)As3 Nickel-Strunz 02.EC.05
min:ferrostalderite	Ferrostalderite	CuFe2TlAs2S6 Nickel-Strunz 02.GA.40 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrostrunzite	Ferrostrunzite	Fe2+Fe3+2(PO4)2(OH)2 · 6H2O Nickel-Strunz 08.DC.25
min:ferrotaaffeite-2n2s	Ferrotaaffeite-2N'2S	Be(Fe,Mg,Zn)3Al8O16 Nickel-Strunz 04.FC.25 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrotaaffeite-6n3s	Ferrotaaffeite-6N'3S	(Be,Zn,Mg)FeAl4O8 Nickel-Strunz 04.FC.25 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrotellurite	Ferrotellurite	Fe(TeO4) (?) Nickel-Strunz 07.AB.10
min:ferrotitanowodginite	Ferrotitanowodginite	Fe2+TiTa2O8 Nickel-Strunz 04.DB.40
min:ferrotychite	Ferrotychite	Na6(Fe,Mn,Mg)2(CO3)4(SO4) Nickel-Strunz 05.BF.05
min:ferrovalleriite	Ferrovalleriite	2(Fe,Cu)S·1.5Fe(OH)2 Nickel-Strunz 02.FD. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrovorontsovite	Ferrovorontsovite	(Fe5Cu)Î£6TlAs4S12 Nickel-Strunz 02.GB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:ferrowodginite	Ferrowodginite	Fe2+Sn4+Ta2O8 Nickel-Strunz 04.DB.40
min:ferrowyllieite	Ferrowyllieite	(Na,Ca,Mn)(Fe,Mn)(Fe,Fe,Mg)Al(PO4)3 Nickel-Strunz 08.AC.15
min:ferruccite	Ferruccite	Na[BF4] Nickel-Strunz 03.CA.05
min:fersilicite	Fersilicite	FeSi Nickel-Strunz 01.BB.15
min:fersmanite	Fersmanite	Ca4(Na,Ca)4(Ti,Nb)4(Si2O7)2O8F3 Nickel-Strunz 09.BE.72
min:fersmite	Fersmite	(Ca,Ce,Na)(Nb,Ta,Ti)2(O,OH,F)6 Nickel-Strunz 04.DG.05
min:feruvite	Feruvite	Ca(Fe2+)3MgAl5(Si6O18)(BO3)3(OH)3(OH) Nickel-Strunz 09.CK.05
min:fervanite	Fervanite	Fe3+4V5+4O16 · 5H2O Nickel-Strunz 04.HG.05
min:fetiasite	Fetiasite	(Fe3+,Fe2+,Ti)3(As2O5)O2 Nickel-Strunz 04.JB.05
min:fettelite	Fettelite	[Ag6As2S7][Ag10HgAs2S8] Nickel-Strunz 02.LA.30
min:feynmanite	Feynmanite	Na(UO2)(SO4)(OH)·3.5H2O Nickel-Strunz 07.EC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fianelite	Fianelite	Mn2+2((V,As)2O7) · 2H2O Nickel-Strunz 08.FC.05
min:fibroferrite	Fibroferrite	Fe3+(SO4)(OH) · 5H2O Nickel-Strunz 07.DC.15
min:fichtelite	Fichtelite	C19H34 Nickel-Strunz 10.BA.05
min:fiedlerite	Fiedlerite	Pb3FCl4(OH) · H2O Nickel-Strunz 03.DC.10
min:fiemmeite	Fiemmeite	Cu2(C2O4)(OH)2·2H2O Nickel-Strunz 10.AB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:filatovite	Filatovite	K(Al,Zn)2(As,Si)2O8 Nickel-Strunz 08.AC.85
min:filipstadite	Filipstadite	(Fe3+0.5Sb5+0.5)Mn2O4 Nickel-Strunz 04.BB.05
min:fillowite	Fillowite	{Mn2+}{Na8}{Ca4Na4}{(Mn2+,Fe2+)43}(PO4)36 Nickel-Strunz 08.AC.50
min:finchite	Finchite	Sr(UO2)2(V2O8)·5H2O Nickel-Strunz 04.HB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fingerite	Fingerite	Cu11(VO4)6O2 Nickel-Strunz 08.BB.80
min:finnemanite	Finnemanite	Pb5(AsO3)3Cl Nickel-Strunz 04.JB.45
min:fischesserite	Fischesserite	Ag3AuSe2 Nickel-Strunz 02.BA.75
min:fivegite	Fivegite	K4Ca2[AlSi7O17(O2-xOHx)][(H2O)2-xOHx]Cl Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fizelyite	Fizélyite	Ag5Pb14Sb21S48 Nickel-Strunz 02.JB.40a
min:flagstaffite	Flagstaffite	C10H22O3 Nickel-Strunz 10.CA.10
min:flamite	Flamite	Ca8-x(Na,K)x(SiO4)4-x(PO4)x Nickel-Strunz 09.HA. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fleischerite	Fleischerite	Pb3Ge(SO4)2(OH)6 · 3H2O Nickel-Strunz 07.DF.25
min:fleisstalite	Fleisstalite	Fe2+(SO3)·3H2O Nickel-Strunz 04.JE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fletcherite	Fletcherite	Cu(Ni,Co)2S4 Nickel-Strunz 02.DA.05
min:flinkite	Flinkite	Mn2+2Mn3+(AsO4)(OH)4 Nickel-Strunz 08.BE.30
min:flinteite	Flinteite	K2ZnCl4 Nickel-Strunz 03.00. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:florencite-ce	Florencite-(Ce)	CeAl3(PO4)2(OH)6 Nickel-Strunz 08.BL.13
min:florencite-la	Florencite-(La)	LaAl3(PO4)2(OH)6 Nickel-Strunz 08.BL.13
min:florencite-nd	Florencite-(Nd)	NdAl3(PO4)2(OH)6 Nickel-Strunz 08.BL.13
min:florencite-sm	Florencite-(Sm)	SmAl3(PO4)2(OH)6 Nickel-Strunz 08.BL.13
min:florenskyite	Florenskyite	FeTiP Nickel-Strunz 01.BD.15
min:florensovite	Florensovite	(Cu,Zn)Cr1.5Sb0.5S4 Nickel-Strunz 02.DA.05
min:fluckite	Fluckite	CaMn2+(HAsO4)2 · 2H2O Nickel-Strunz 08.CB.15
min:fluellite	Fluellite	Al2(PO4)F2(OH) · 7H2O Nickel-Strunz 08.DE.10
min:fluoborite	Fluoborite	Mg3(BO3)(F,OH)3 Nickel-Strunz 06.AB.50
min:fluocerite-ce	Fluocerite-(Ce)	(Ce,La)F3 Nickel-Strunz 03.AC.15
min:fluocerite-la	Fluocerite-(La)	(La,Ce)F3 Nickel-Strunz 03.AC.15
min:fluor-arfvedsonite	Fluor-arfvedsonite	[Na][Na2][Fe2+4Fe3+]Si8O22F2 Nickel-Strunz 09.DE.25 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluor-buergerite	Fluor-buergerite	Na(Fe3+3)Al6(Si6O18)(BO3)3O3F Nickel-Strunz 09.CK.05
min:fluor-dravite	Fluor-dravite	Na(Mg3)Al6(Si6O18)(BO3)3(OH)3F Nickel-Strunz 09.CK.05
min:fluor-elbaite	Fluor-elbaite	Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3F Nickel-Strunz 09.CK.05
min:fluor-feruvite	Fluor-feruvite	Ca(Fe2+)3MgAl5(Si6O18)(BO3)3(OH)3F Nickel-Strunz 09.CK.05 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluor-liddicoatite	Fluor-liddicoatite	Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F Nickel-Strunz 09.CK.05
min:fluor-schorl	Fluor-schorl	Na(Fe2+3)Al6(Si6O18)(BO3)3(OH)3F Nickel-Strunz 09.CK.
min:fluor-tsilaisite	Fluor-tsilaisite	Na(Mn2+)3Al6(Si6O18)(BO3)3(OH)3F Nickel-Strunz 09.CK.05
min:fluor-uvite	Fluor-uvite	CaMg3(Al5Mg)(Si6O18)(BO3)3(OH)3F Nickel-Strunz 09.CK.05
min:fluorannite	Fluorannite	KFe2+3(AlSi3O10)(F,OH)2 Nickel-Strunz 09.EC.20
min:fluorapatite	Fluorapatite	Ca5(PO4)3F Nickel-Strunz 08.BN.05
min:fluorapophyllite-k	Fluorapophyllite-(K)	KCa4(Si8O20)(F,OH) · 8H2O Nickel-Strunz 09.EA.15
min:fluorapophyllite-na	Fluorapophyllite-(Na)	NaCa4(Si8O20)F · 8H2O Nickel-Strunz 09.EA.15
min:fluorarrojadite-bafe	Fluorarrojadite-(BaFe)	{Ba->>}{Fe2+->>}{Ca}{Na2->>}{Fe2+13}{Al}(PO4)11(HPO4)F2 Nickel-Strunz 08.BF.05
min:fluorarrojadite-bana	Fluorarrojadite-(BaNa)	BaNa4CaFe13Al(PO4)11(PO3OH)F2 Nickel-Strunz 08.BF.05
min:fluorarrojadite-kna	Fluorarrojadite-(KNa)	{KNa}{Na2}{Ca}{Na2->>}{Fe2+13}{Al}(PO4)11(HPO4)F2 Nickel-Strunz 08.BF.05
min:fluorarrojadite-nafe	Fluorarrojadite-(NaFe)	{Na2}{Fe2+->>}{Ca}{Na2->>}{Fe2+13}{Al}(PO4)11(HPO4)F2 Nickel-Strunz 08.BF.05
min:fluorbarytolamprophyllite	Fluorbarytolamprophyllite	(Ba,Sr)2[(Na,Fe2+)3(Ti,Mg)F2][Ti2(Si2O7)2O2] Nickel-Strunz 09.BE.25
min:fluorbritholite-ce	Fluorbritholite-(Ce)	(Ce,Ca)5(SiO4)3F Nickel-Strunz 09.AH.25
min:fluorbritholite-y	Fluorbritholite-(Y)	(Y,Ca)5(SiO4)3F Nickel-Strunz 09.AH.25
min:fluorcalciobritholite	Fluorcalciobritholite	(Ca,REE)5(SiO4,PO4)3F Nickel-Strunz 09.AH.25
min:fluorcalciomicrolite	Fluorcalciomicrolite	(Ca,Na)2(Ta,Nb)2O6F Nickel-Strunz 04.DH.15 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluorcalciopyrochlore	Fluorcalciopyrochlore	(Ca,Na)2(Nb, Ti)2O6F Nickel-Strunz 04.DH. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluorcalcioromeite	Fluorcalcioroméite	(Ca,Na,->>)2Sb5+2(O,OH)6F Nickel-Strunz 04.DH. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluorcanasite	Fluorcanasite	K3Na3Ca5Si12O30F4 · H2O Nickel-Strunz 09.DG.80
min:fluorcaphite	Fluorcaphite	SrCaCa3(PO4)3F Nickel-Strunz 08.BN.05
min:fluorcarmoite-bana	Fluorcarmoite-(BaNa)	Ba–¡Na2Na2–¡CaMg13Al(PO4)11(PO3OH)F2 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluorchegemite	Fluorchegemite	Ca7(SiO4)3F2 Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluorellestadite	Fluorellestadite	Ca5(SiO4)1.5(SO4)1.5F Nickel-Strunz 09.AH.25
min:fluorite	Fluorite	CaF2 Nickel-Strunz 03.AB.25
min:fluorkyuygenite	Fluorkyuygenite	Ca12Al14O32[(H2O)4F2] Nickel-Strunz 99.99. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluorlamprophyllite	Fluorlamprophyllite	Na3(SrNa)Ti3(Si2O7)2O2F2 Nickel-Strunz 09.BE.25 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluormayenite	Fluormayenite	Ca12Al14O32F2 Nickel-Strunz 04.CC. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluornatrocoulsellite	Fluornatrocoulsellite	CaNa3AlMg3F14 Nickel-Strunz 03.00.
min:fluornatromicrolite	Fluornatromicrolite	(Na1.5Bi0.5)Ta2O6F Nickel-Strunz 04.DH.15
min:fluornatropyrochlore	Fluornatropyrochlore	(Na,Pb,Ca,REE,U)2Nb2O6F Nickel-Strunz 04.DH.
min:fluoro-cannilloite	Fluoro-cannilloite	{Ca}{Ca2}{Mg4Al}(Al3Si5O22)(F,OH)2 Nickel-Strunz 09.DE.10
min:fluoro-edenite	Fluoro-edenite	{Na}{Ca2}{Mg5}(AlSi7O22)(F,OH)2 Nickel-Strunz 09.DE.15
min:fluoro-ferri-magnesiokatophorite	Fluoro-ferri-magnesiokatophorite	Na2Ca(Mg,Fe3+)5(Si7Al)O22F2 Nickel-Strunz 09.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluoro-katophorite	Fluoro-katophorite	Na(CaNa)(Mg4Al)(AlSi7O22)F2 Nickel-Strunz 09.DE.20
min:fluoro-leakeite	Fluoro-leakeite	NaNa2(Mg2Al2Li)(Si8O22)F2 Nickel-Strunz 09.DE.25
min:fluoro-magnesiokatophorite	Fluoro-magnesiokatophorite	NaCa2Mg5(Si7Al)O22F2 Nickel-Strunz 09.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluoro-nyboite	Fluoro-nybøite	NaNa2(Mg3Al2)(AlSi7O22)(F,OH)2 Nickel-Strunz 09.DE.25
min:fluoro-oxy-ferri-magnesiokatophorite	Fluoro-oxy-ferri-magnesiokatophorite	Na2Ca(Mg4Fe3+)(Si7Al)O22(F,O,OH)2 Nickel-Strunz 09.DE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluoro-pargasite	Fluoro-pargasite	{Na}{Ca2}{Mg4Al}(Al2Si6O22)(F,OH)2 Nickel-Strunz 09.DE.15
min:fluoro-pedrizite	Fluoro-pedrizite	NaLi2(Mg2Al2Li)(Si8O22)F2 Nickel-Strunz 09.DE.25
min:fluoro-richterite	Fluoro-richterite	{Na}{CaNa}{Mg5}(Si8O22)(F,OH)2 Nickel-Strunz 09.DE.20
min:fluoro-riebeckite	Fluoro-riebeckite	->>{Na2}{Fe2+3Fe3+2}(Si8O22)F2 Nickel-Strunz 09.DE.25 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluoro-taramite	Fluoro-taramite	{Na}{CaNa}{Mg3Al2}(Al2Si6O22)F2 Nickel-Strunz 09.DE.20
min:fluoro-tremolite	Fluoro-tremolite	˜?{Ca2}{Mg5}(Si8O22)F2 Nickel-Strunz 09.DE.10
min:fluorocronite	Fluorocronite	PbF2 Nickel-Strunz 03.AB.
min:fluorokinoshitalite	Fluorokinoshitalite	BaMg3(Al2Si2O10)F2 Nickel-Strunz 09.EC.35
min:fluorophlogopite	Fluorophlogopite	KMg3(AlSi3O10)(F,OH)2 Nickel-Strunz 09.EC.20
min:fluorotetraferriphlogopite	Fluorotetraferriphlogopite	KMg3(Fe3+Si3O10)F2 Nickel-Strunz 09.EC.20
min:fluorowardite	Fluorowardite	NaAl3(PO4)2F2(OH)2(H2O)2 Nickel-Strunz 08.DL.10 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fluorphosphohedyphane	Fluorphosphohedyphane	Ca2Pb3(PO4)3F Nickel-Strunz 08.BN.05
min:fluorstrophite	Fluorstrophite	SrCaSr3(PO4)3F Nickel-Strunz 08.BN.05
min:fluorvesuvianite	Fluorvesuvianite	Ca19(Al,Mg,Fe2+)13(Si2O7)4(SiO4)10O(F,OH)9 Nickel-Strunz 09.BG.35
min:fluorwavellite	Fluorwavellite	Al3(PO4)2(OH)2F·5H2O Nickel-Strunz 08.DC.50 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:flurlite	Flurlite	Zn3Mn2+Fe3+(PO4)3(OH)2·9H2O Nickel-Strunz 08.DB.15 Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:florkeite	Flörkeite	(K3Ca2Na)[Al8Si8O32] · 12H2O Nickel-Strunz 09.GC.10
min:foggite	Foggite	CaAl(PO4)(OH)2 · H2O Nickel-Strunz 08.DL.05
min:fogoite-y	Fogoite-(Y)	Na3Ca2Y2Ti(Si2O7)2OF3 Nickel-Strunz 09.BE. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:foitite	Foitite	(–¡,Na)(Fe2+2Al)Al6(Si6O18)(BO3)3(OH)3OH Nickel-Strunz 09.CK.05
min:folvikite	Folvikite	Sb5+Mn3+(Mg,Mn2+)10O8(BO3)4 Nickel-Strunz 06.AB. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:fontanite	Fontanite	Ca(UO2)3(CO3)4 · 3H2O Nickel-Strunz 05.EC.05
min:fontarnauite	Fontarnauite	(Na,K)2(Sr,Ca) (SO4)[B5O8(OH)]·2H2O Nickel-Strunz 06.DA.60
min:foordite	Foordite	Sn2+(Nb,Ta)2O6 Nickel-Strunz 04.DG.15
min:footemineite	Footemineite	Ca2Mn2+Mn2+2Mn2+2Be4(PO4)6(OH)4 · 6H2O Nickel-Strunz 08.DA.10
min:formanite-y	Formanite-(Y)	YTaO4 Nickel-Strunz 07.GA.10
min:formicaite	Formicaite	Ca(HCOO)2 Nickel-Strunz 10.AA.05
min:fornacite	Fornacite	Pb2Cu(CrO4)(AsO4)(OH) Nickel-Strunz 07.FC.10
min:forsterite	Forsterite	Mg2SiO4 Nickel-Strunz 09.AC.05
min:foretite	Forêtite	Cu2Al2(AsO4)(OH,O,H2O)6 Nickel-Strunz 08.D0. Speculative Nickel-Strunz classification by the GSQ, Not approved by AMA.
min:foshagite	Foshagite	Ca4(Si3O9)(OH)2 Nickel-Strunz 09.DG.15
min:foshallasite	Foshallasite	Ca3[Si2O7] · 3H2O(?) Nickel-Strunz 09.HA.55
min:fougerite	Fougèrite	Fe2+4Fe3+2(OH)12[CO3]·3H2O Nickel-Strunz 04.FL.05
min:fourmarierite	Fourmarierite	Pb(UO2)4O3(OH)4 · 4H2O Nickel-Strunz 04.GB.25
min:fowlerite	Fowlerite	(Mn2+,Zn,Ca)SiO3 Nickel-Strunz 09.DK.05
min:fraipontite	Fraipontite	(Zn,Al)3((Si,Al)2O5)(OH)4 Nickel-Strunz 09.ED.15
min:francevillite	Francevillite	Ba(UO2)2(VO4)2 · 5H2O Nickel-Strunz 04.HB.15
min:franciscanite	Franciscanite	Mn2+6(V5+,˜?)2(SiO4)2(O,OH)6 Nickel-Strunz 09.AF.75
min:francisite	Francisite	Cu3Bi(SeO3)2O2Cl Nickel-Strunz 04.JG.25
min:franckeite	Franckeite	Fe2+(Pb,Sn2+)6Sn4+2Sb2S14 Nickel-Strunz 02.HF.25b
min:francoanellite	Francoanellite	K3Al5(PO4)2(HPO4)3 · 12H2O Nickel-Strunz 08.CH.25
min:franconite	Franconite	Na(Nb2O5)(OH) · 3H2O Nickel-Strunz 04.FM.15
