label	s	strunz
Barysilite	gcmin:barysilite	09.BC.20
Baryte	gcmin:baryte	07.AD.35
Baryte Group	<https://w3id.org/geochem/1.0/min/grouplexicon/29275>	
Barytocalcite	gcmin:barytocalcite	05.AB.45
Barytolamprophyllite	gcmin:barytolamprophyllite	09.BE.25
Bassanite	gcmin:bassanite	07.CD.45
Bassetite	gcmin:bassetite	08.EB.10
Bassoite	gcmin:bassoite	04.H
Bastnäsite	<https://w3id.org/geochem/1.0/min/grouplexicon/563>	
Bastnäsite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/42527>	
Bastnäsite-(Ce)	gcmin:bastnasite-ce	04.??
Bastnäsite-(La)	gcmin:bastnasite-la	05.BD.20a
Bastnäsite-(Nd)	gcmin:bastnasite-nd	05.BD.20a
Bastnäsite-(Y)	gcmin:bastnasite-y	05.BD.20a
Batiferrite	gcmin:batiferrite	04.CC.45
Batisite	gcmin:batisite	09.DH.20
Batisite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/40105>	
Batisivite	gcmin:batisivite	09.BE.95
Baumhauerite	gcmin:baumhauerite	02.HC.05b
Baumstarkite	gcmin:baumstarkite	02.HA.25
Bauranoite	gcmin:bauranoite	04.GB.20
Bavenite	gcmin:bavenite	09.DF.25
Bavsiite	gcmin:bavsiite	09.DH
Bayerite	gcmin:bayerite	04.FE.10
Bayldonite	gcmin:bayldonite	08.BH.45
Bayleyite	gcmin:bayleyite	05.ED.05
Baylissite	gcmin:baylissite	05.CB.45
Bazhenovite	gcmin:bazhenovite	02.FD.50
Bazirite	gcmin:bazirite	09.CA.05
Bazzite	gcmin:bazzite	09.CJ.05
Bearsite	gcmin:bearsite	08.DA.05
Bearthite	gcmin:bearthite	08.BG.05
Beaverite-(Cu)	gcmin:beaverite-cu	07.BC.10
Beaverite-(Zn)	gcmin:beaverite-zn	07.BC.10
Bechererite	gcmin:bechererite	07.DD.55
Beckettite	gcmin:beckettite	04.HC
Becquerelite	gcmin:becquerelite	04.GB.10
Bederite	gcmin:bederite	08.CF.05
Behoite	gcmin:behoite	04.FA.05a
Beidellite	gcmin:beidellite	09.EC.40
Belendorffite	gcmin:belendorffite	01.AD.10
Belkovite	gcmin:belkovite	09.BE.75
Bellbergite	gcmin:bellbergite	09.GD.20
Bellidoite	gcmin:bellidoite	02.BA.20
Bellingerite	gcmin:bellingerite	04.KC.05
Belloite	gcmin:belloite	03.DA.10b
Belomarinaite	gcmin:belomarinaite	07.AC.35
Belovite Group	<https://w3id.org/geochem/1.0/min/grouplexicon/42671>	
Belovite-(Ce)	gcmin:belovite-ce	03.DA.10b
Belovite-(La)	gcmin:belovite-la	08.BN.05
